zipcode,borough,Population,Population Density,Housing Units,Median Home Value,Land Area,Water Area,Occupied Housing Units,Median Household Income,Male,Female,White,Black Or African American,American Indian Or Alaskan Native,Asian,Native Hawaiian & Other Pacific Islander,Other Race,Two Or More Races,Husband Wife Family Households,Single Guardian,Singles,Singles With Roommate,Households without Kids,Households with Kids,In Occupied Housing Units,Correctional Facility For Adults,Juvenile Facilities,Nursing Facilities,Other Institutional,College Student Housing,Military Quarters,Other Noninstitutional,Owned Households With A Mortgage,Owned Households Free & Clear,Renter Occupied Households,Households Vacant,For Rent,Rented & Unoccupied,For Sale Only,Sold & Unoccupied,For Season Recreational Or Occasional Use,For Migrant Workers,Vacant For Other Reasons,Studio Apartment,1 Bedroom,2 Bedroom,3+ Bedroom,Worked Full-time with Earnings,Worked Part-time with Earnings,No Earnings,"Car, truck, or van",Public transportation,Taxicab,Motorcycle,"Bicycle, Walked, or Other Means",Worked at Home,Less than High School Diploma,High School Graduate,Associate's degree,Bachelor's degree,Master's degree,Professional school degree,Doctorate degree,Enrolled in Public School,Enrolled in Private School,Not Enrolled in School
10011,Manhattan,50984.0,77436.0,33252.0,914500.0,0.66,0.0,30294.0,104238.0,25998.0,24986.0,40922.0,2348.0,110.0,4517.0,24.0,1496.0,1567.0,5800.0,1774.0,17717.0,5003.0,27404.0,2890.0,48753.0,165.0,34.0,135.0,27.0,1310.0,0.0,560.0,6694.0,3721.0,19879.0,2958.0,723.0,71.0,362.0,88.0,1212.0,0.0,502.0,4575.0,9690.0,3938.0,1027.0,26353.0,11030.0,10295.0,1923.0,18414.0,1647.0,47.0,9744.0,2150.0,1979.0,6627.0,1299.0,17389.0,9571.0,4483.0,1841.0,1459.0,2039.0,90.0
10012,Manhattan,24090.0,74517.0,14633.0,1000001.0,0.32,0.0,13338.0,86594.0,11840.0,12250.0,18203.0,596.0,30.0,3985.0,7.0,534.0,735.0,2963.0,893.0,7018.0,2464.0,11937.0,1401.0,22806.0,0.0,0.0,0.0,0.0,1093.0,0.0,191.0,1627.0,990.0,10721.0,1295.0,538.0,100.0,75.0,44.0,409.0,0.0,129.0,1605.0,5507.0,2939.0,781.0,13318.0,5619.0,5045.0,961.0,9131.0,441.0,74.0,5174.0,1135.0,1399.0,3264.0,369.0,8643.0,3689.0,1573.0,1642.0,1009.0,763.0,92.0
10013,Manhattan,27700.0,50154.0,13460.0,1000001.0,0.55,0.0,12096.0,83725.0,13951.0,13749.0,15407.0,1040.0,30.0,10006.0,4.0,489.0,724.0,4449.0,1225.0,4742.0,1680.0,9576.0,2520.0,25803.0,689.0,0.0,0.0,0.0,1047.0,0.0,161.0,2196.0,1025.0,8875.0,1364.0,466.0,38.0,231.0,41.0,385.0,0.0,203.0,799.0,4153.0,2282.0,659.0,9893.0,5303.0,7269.0,863.0,6950.0,520.0,16.0,3929.0,1033.0,3592.0,3331.0,265.0,6284.0,3392.0,1361.0,526.0,1412.0,1529.0,169.0
10014,Manhattan,31959.0,56119.0,21689.0,947300.0,0.57,0.0,19790.0,108483.0,15631.0,16328.0,28094.0,660.0,54.0,1874.0,10.0,393.0,874.0,3731.0,901.0,11606.0,3552.0,18054.0,1736.0,31395.0,0.0,0.0,165.0,8.0,299.0,0.0,92.0,3496.0,1835.0,14459.0,1899.0,540.0,54.0,135.0,110.0,811.0,3.0,246.0,3208.0,7280.0,2071.0,720.0,16096.0,7021.0,5154.0,1041.0,11013.0,1131.0,49.0,5431.0,1912.0,435.0,3676.0,617.0,12361.0,5406.0,2646.0,994.0,1066.0,806.0,118.0
10015,Manhattan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10016,Manhattan,54183.0,101814.0,35617.0,759600.0,0.53,0.0,32173.0,105324.0,24814.0,29369.0,40517.0,2176.0,91.0,8998.0,26.0,1083.0,1292.0,6451.0,1697.0,17570.0,6455.0,29648.0,2525.0,52488.0,0.0,8.0,146.0,10.0,1113.0,0.0,418.0,5265.0,2689.0,24219.0,3444.0,1147.0,88.0,223.0,86.0,1442.0,2.0,456.0,4375.0,10647.0,3768.0,991.0,28116.0,8789.0,9981.0,1653.0,14390.0,1291.0,52.0,14240.0,1953.0,1316.0,5757.0,1126.0,17495.0,8271.0,4791.0,1118.0,1350.0,1469.0,213.0
10017,Manhattan,16575.0,51775.0,12875.0,637100.0,0.32,0.0,10763.0,100652.0,7485.0,9090.0,12503.0,544.0,15.0,2930.0,9.0,193.0,381.0,2265.0,445.0,6673.0,1380.0,10012.0,751.0,16391.0,0.0,0.0,0.0,0.0,0.0,0.0,184.0,2556.0,1353.0,6854.0,2112.0,410.0,40.0,220.0,58.0,1179.0,5.0,200.0,1956.0,3259.0,876.0,491.0,9721.0,2842.0,2552.0,483.0,4138.0,475.0,17.0,5901.0,619.0,320.0,1836.0,429.0,5801.0,3236.0,1257.0,497.0,354.0,223.0,14.0
10018,Manhattan,5229.0,16251.0,4425.0,1000001.0,0.32,0.0,3065.0,104635.0,2795.0,2434.0,2979.0,397.0,17.0,1343.0,1.0,325.0,167.0,435.0,223.0,1732.0,675.0,2831.0,234.0,5044.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,284.0,151.0,2630.0,1360.0,1153.0,8.0,24.0,4.0,129.0,2.0,40.0,627.0,1684.0,763.0,90.0,3852.0,1516.0,1122.0,231.0,2433.0,191.0,0.0,1896.0,239.0,428.0,1064.0,194.0,2127.0,1158.0,415.0,76.0,212.0,99.0,65.0
10019,Manhattan,42870.0,63042.0,31404.0,808600.0,0.68,0.0,25905.0,84424.0,21379.0,21491.0,29712.0,2364.0,127.0,7166.0,25.0,1992.0,1484.0,5343.0,1875.0,14510.0,4177.0,23680.0,2225.0,42298.0,0.0,0.0,0.0,91.0,123.0,0.0,358.0,2793.0,1828.0,21284.0,5499.0,1198.0,82.0,371.0,89.0,3235.0,0.0,524.0,4315.0,9974.0,3760.0,824.0,19423.0,8033.0,8410.0,1546.0,10989.0,583.0,8.0,9845.0,1387.0,2562.0,6198.0,1073.0,12128.0,6879.0,2977.0,1120.0,1046.0,519.0,252.0
10020,Manhattan,0.0,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
